"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Contemporary Connection- develop an original idea and connect it to ancient history  ART CHALLENGE PROJECTS: Challenge 1: Stonehenge Students will create an accurate miniature version of Stonehenge using their choice of materials. Document it in a photograph and write a short explanation using textbook as reference. This challenge will help students gain tactile familiarity with post and lintel architecture and with the complex physical layout of a significant historical monument.  Challenge 2: Walk Like an Egyptian Students will consider Egyptian influences on contemporary visual culture. Image can be a found or created. Students document with photograph, provide written explanation with reference to textbook. Themes could include hieroglyphics, death rituals- mummification, etc. Challenge 3: GREEK WEEK Students will make comparisons and find connections between ancient Greek Civilization and contemporary culture- including traditions, language, or architecture. Document it with a photo and written explanation (including textbook reference). ", What is the first challenge? ,  The first challenge is to create an accurate mini version of Stonehenge using their choice of materials and documenting it with a photograph and written explanation. 
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Contemporary Connection- develop an original idea and connect it to ancient history  ART CHALLENGE PROJECTS: Challenge 1: Stonehenge Students will create an accurate miniature version of Stonehenge using their choice of materials. Document it in a photograph and write a short explanation using textbook as reference. This challenge will help students gain tactile familiarity with post and lintel architecture and with the complex physical layout of a significant historical monument.  Challenge 2: Walk Like an Egyptian Students will consider Egyptian influences on contemporary visual culture. Image can be a found or created. Students document with photograph, provide written explanation with reference to textbook. Themes could include hieroglyphics, death rituals- mummification, etc. Challenge 3: GREEK WEEK Students will make comparisons and find connections between ancient Greek Civilization and contemporary culture- including traditions, language, or architecture. Document it with a photo and written explanation (including textbook reference). ", What topics can be explored in the second challenge? ,"  The second challenge involves exploring Egyptian influences on contemporary visual culture, which could include hieroglyphics, death rituals, and mummification. "
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Contemporary Connection- develop an original idea and connect it to ancient history  ART CHALLENGE PROJECTS: Challenge 1: Stonehenge Students will create an accurate miniature version of Stonehenge using their choice of materials. Document it in a photograph and write a short explanation using textbook as reference. This challenge will help students gain tactile familiarity with post and lintel architecture and with the complex physical layout of a significant historical monument.  Challenge 2: Walk Like an Egyptian Students will consider Egyptian influences on contemporary visual culture. Image can be a found or created. Students document with photograph, provide written explanation with reference to textbook. Themes could include hieroglyphics, death rituals- mummification, etc. Challenge 3: GREEK WEEK Students will make comparisons and find connections between ancient Greek Civilization and contemporary culture- including traditions, language, or architecture. Document it with a photo and written explanation (including textbook reference). ", What type of comparison should students research for the third challenge? ,"  For the third challenge, students should research comparisons and find connections between ancient Greek Civilization and contemporary culture, such as traditions, language, or architecture. "
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Appropriate length (2 pages), well-developed paragraphs, edited- correct spelling, grammar, and punctuation. Rubric for Library /Special Collections: CHOOSE THREE WORKS OF ART, DIFFERING IN TIME PERIOD AND THEME. DESCRIBE EACH WORK OF ART (USE ART TERMINOLOGY), TIME PERIOD, AND MAKE A CONNECTION (Compare/Contrast) TO ART HISTORY STUDIES (textbook and lecture notes) (INCLUDE PAGE # REFERENCES) Rubric:  10 pts. Description of three works, varying time periods, using appropriate terminology. 10 pts. Make connections to Art History textbook, including comparison and contrast to works. Use specific page #s as references for each example.  Exams: You will have four exams during the semester, plus a FINAL EXAM. Each exam will have multiple choice and essay questions. The final exam will be comprehensive. Attendance at final is mandatory.  In Class Presentation/Paper/Bibliography: Each student will become an expert on work of art or architecture from a list provided by the instructor. All presentations will take place in class on the scheduled day. Students will give a 3-4 min. presentation. Students will accompany presentation with one-page paper of notes/ bibliography. A detailed rubric will be provided with specific criteria on Moodle. ", What are the requirements for the In Class Presentation/Paper/Bibliography? ,"  Presentation: 3-4 min, Paper: 1-page notes/bibliography; Rubric: provided on Moodle. "
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Appropriate length (2 pages), well-developed paragraphs, edited- correct spelling, grammar, and punctuation. Rubric for Library /Special Collections: CHOOSE THREE WORKS OF ART, DIFFERING IN TIME PERIOD AND THEME. DESCRIBE EACH WORK OF ART (USE ART TERMINOLOGY), TIME PERIOD, AND MAKE A CONNECTION (Compare/Contrast) TO ART HISTORY STUDIES (textbook and lecture notes) (INCLUDE PAGE # REFERENCES) Rubric:  10 pts. Description of three works, varying time periods, using appropriate terminology. 10 pts. Make connections to Art History textbook, including comparison and contrast to works. Use specific page #s as references for each example.  Exams: You will have four exams during the semester, plus a FINAL EXAM. Each exam will have multiple choice and essay questions. The final exam will be comprehensive. Attendance at final is mandatory.  In Class Presentation/Paper/Bibliography: Each student will become an expert on work of art or architecture from a list provided by the instructor. All presentations will take place in class on the scheduled day. Students will give a 3-4 min. presentation. Students will accompany presentation with one-page paper of notes/ bibliography. A detailed rubric will be provided with specific criteria on Moodle. ", What are the types of questions for the Exams? ,  Multiple Choice and Essay questions. 
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. 5 pts. Appropriate length (2 pages), well-developed paragraphs, edited- correct spelling, grammar, and punctuation. Rubric for Library /Special Collections: CHOOSE THREE WORKS OF ART, DIFFERING IN TIME PERIOD AND THEME. DESCRIBE EACH WORK OF ART (USE ART TERMINOLOGY), TIME PERIOD, AND MAKE A CONNECTION (Compare/Contrast) TO ART HISTORY STUDIES (textbook and lecture notes) (INCLUDE PAGE # REFERENCES) Rubric:  10 pts. Description of three works, varying time periods, using appropriate terminology. 10 pts. Make connections to Art History textbook, including comparison and contrast to works. Use specific page #s as references for each example.  Exams: You will have four exams during the semester, plus a FINAL EXAM. Each exam will have multiple choice and essay questions. The final exam will be comprehensive. Attendance at final is mandatory.  In Class Presentation/Paper/Bibliography: Each student will become an expert on work of art or architecture from a list provided by the instructor. All presentations will take place in class on the scheduled day. Students will give a 3-4 min. presentation. Students will accompany presentation with one-page paper of notes/ bibliography. A detailed rubric will be provided with specific criteria on Moodle. ", How many Exams are there? ,"  4 Exams, plus a FINAL EXAM. "
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. III. Course Policies  Attendance Policy (Read Thoroughly: Attendance and Punctuality Are Mandatory):  Monmouth College policy states that you are required to attend classes. Attendance is required for the full time period each class. You may miss two (2) classes without penalty, although pop quizzes and participation points may be lost. The third absence begins to lower your final grade. Students who have five absences will receive a failing grade for the course. Even if you have valid reasons for missing class, it does not change the fact that you have missed out on participating in class activities and adding to the community experience. ** Tardies will affect your grade; two (2) tardies of more than ten minutes will count as one full absence. If you do miss class, email the instructor as to the reason for your absence. Certain circumstances will sometimes indicate a need for help from Student Support Services. If you miss a class, it will be your responsibility to find out what you missed. Fellow students, the syllabus, and Moodle lectures can be helpful resources. I encourage you to use office hours or email the instructor whenever you need assistance.", What is the attendance policy? ,  Students are required to attend all classes; absences and tardies are limited to two (2) with exceptions in special cases. Penalties begin to apply after 3 absences and if there are 5 absences the student will be given a failing grade. Tardies of more than 10 minutes also count towards the absences. 
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. III. Course Policies  Attendance Policy (Read Thoroughly: Attendance and Punctuality Are Mandatory):  Monmouth College policy states that you are required to attend classes. Attendance is required for the full time period each class. You may miss two (2) classes without penalty, although pop quizzes and participation points may be lost. The third absence begins to lower your final grade. Students who have five absences will receive a failing grade for the course. Even if you have valid reasons for missing class, it does not change the fact that you have missed out on participating in class activities and adding to the community experience. ** Tardies will affect your grade; two (2) tardies of more than ten minutes will count as one full absence. If you do miss class, email the instructor as to the reason for your absence. Certain circumstances will sometimes indicate a need for help from Student Support Services. If you miss a class, it will be your responsibility to find out what you missed. Fellow students, the syllabus, and Moodle lectures can be helpful resources. I encourage you to use office hours or email the instructor whenever you need assistance.", What should I do if I miss class? ,"  Contact the instructor with a valid reason and review the material they missed with the help of other students, the syllabus, and Moodle lectures. Consider using office hours and/or emailing the instructor whenever there is a need for assistance. "
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023. III. Course Policies  Attendance Policy (Read Thoroughly: Attendance and Punctuality Are Mandatory):  Monmouth College policy states that you are required to attend classes. Attendance is required for the full time period each class. You may miss two (2) classes without penalty, although pop quizzes and participation points may be lost. The third absence begins to lower your final grade. Students who have five absences will receive a failing grade for the course. Even if you have valid reasons for missing class, it does not change the fact that you have missed out on participating in class activities and adding to the community experience. ** Tardies will affect your grade; two (2) tardies of more than ten minutes will count as one full absence. If you do miss class, email the instructor as to the reason for your absence. Certain circumstances will sometimes indicate a need for help from Student Support Services. If you miss a class, it will be your responsibility to find out what you missed. Fellow students, the syllabus, and Moodle lectures can be helpful resources. I encourage you to use office hours or email the instructor whenever you need assistance.", Are there any exceptions to the 2 absences/tardies policy? ,  Exceptions can be made in special cases. 
"This class is ARTD 200, Art History Survey Part One, taught by Wunderlich in 2023.  Policies on Academic Dishonesty: From the Monmouth College Academic Honesty Policy: We view academic dishonesty as a threat to the integrity and intellectual mission of our institution. Any breach of the academic honesty policy either intentionally or unintentionally - will be taken seriously and may result not only in failure in the course, but in suspension or expulsion from the college. It is each students responsibility to read, understand and comply with the general academic honesty policy at Monmouth College, as defined here in the Scots Guide, and to the specific guidelines for each course, as elaborated on the professors syllabus. The following areas are examples of violations of the academic honesty policy: Cheating on tests, labs, etc; Plagiarism, i.e., using the words, ideas, writing, or work of another without giving appropriate credit; Improper collaboration between students, i.e., not doing ones own work on outside assignments specified as group projects by the instructor;"," What is an example of cheating on tests, labs, etc?  ",  Copying another student's answers on a test or lab. 
